cpse,legacy_code,description,category,specification,uom
ONGC,ONGC/VLV/1023,FOOT VALVE 100MM CI,Valve,"CI, Flanged, With strainer",PCS
CPCL,CPCL/CBL/1018,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,NOS
CPCL,CPCL-VLV-1025,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",NOS
SAIL,SAIL/FST/1019,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
ONGC,ONGC/BRG/1028,DEEP GROOVE BALL BEARING 6205,Bearing,"25x52x15, SKF/equiv",EA
NTPC,NTPC/PMP/1015,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
ONGC,ONGC-PIP-1033,CS PIPE 150MM NB SCH80,Pipe,"150 NB, Sch80, API 5L",NOS
ONGC,ONGC_VLV_1034,GATE VALVE 100MM CS CL 150,Valve,"CS, 150#, Flanged",EA
NTPC,NTPC/PMP/1017,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
ONGC,ONGC/CBL/1041,CONTROL CABLE 12CX2.5SQMM,Cable,"12Cx2.5 Cu, Unarm",M
CPCL,CPCL_PMP_1030,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",EA
SAIL,SAIL-PMP-1022,Submersible Pump 10HP 100mm,Pump,"10HP, 100mm bore, 3ph",SET
CIL,CIL/VLV/1030,Globe VLV 65mm CS 150#,Valve,"CS, 150#, Flanged",NOS
ONGC,ONGC-VLV-1044,"BALL, VALVE 50MM BRASS SCREWED",Valve,"Brass, Screwed BSP",EA
CIL,CIL/FLG/1031,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",EA
CIL,CIL/VLV/1035,Plug VLV 100mm CS PTFE,Valve,"CS+PTFE sleeve, 150#",PCS
ONGC,ONGC/VLV/1050,NEEDLE VALVE 25MM SS316 6000PSI,Valve,"SS316, 6000 psi, NPT",NOS
ONGC,ONGC/VLV/1056,BUTTERFLY VALVE 200MM CI PN16,Valve,"CI, PN16, Wafer",EA
IOCL,IOCL_FLG_1023,WN Flange 4 Inch 150# Carbon Steel,Flange,"100 NB, 150#, A105",PCS
SAIL,SAIL_FLG_1026,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",NOS
NTPC,NTPC_VLV_1023,Foot Valve 100mm CI RF,Valve,"CI, Flanged, With strainer",NOS
NTPC,NTPC/PIP/1027,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",MTR
CPCL,CPCL/VLV/1036,Gate Valve 50 MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",EA
CIL,CIL_VLV_1036,Foot VLV 100mm CI,Valve,"CI, Flanged, With strainer",PCS
SAIL,SAIL_MTR_1028,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",NOS
IOCL,IOCL_PIP_1029,SS316 Pipe 2 Inch NB Sch40,Pipe,"50 NB, Sch40, Seamless",MTR
ONGC,ONGC_VLV_1059,GATE VALVE 150MM CS 300#,Valve,"CS, 300#, RTJ",NOS
SAIL,SAIL-PIP-1031,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",M
CPCL,CPCL-BRG-1040,Spherical Roller Bearing 22218,Bearing,90x160x40,NOS
NTPC,NTPC_PMP_1034,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",EA
CPCL,CPCL/VLV/1046,Check Valve 150 MM CS CL 150,Valve,"CS, NACE, Flanged",PCS
NTPC,NTPC/BRG/1039,Needle Roller Bearng NK45/35,Bearing,45x55x35,PCS
CPCL,CPCL-PMP-1047,Submersible Pump 10HP 100 MM,Pump,"10HP, 100mm bore, 3ph",SET
SAIL,SAIL_VLV_1034,Gate - Valve 150mm CS 300#,Valve,"CS, 300#, RTJ",PCS
NTPC,NTPC/VLV/1046,Foot Valve 100mm CI RF,Valve,"CI, Flanged, With strainer",PCS
NTPC,NTPC/MTR/1048,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",NOS
ONGC,ONGC-PMP-1061,DIAPHRAGM DOSING PUMP 0-100LPH,Pump,"0-100 LPH, PP head",EA
ONGC,ONGC-BRG-1063,DEEP GROOVE BALL BEARING 6205,Bearing,"25x52x15, SKF/equiv",PCS
IOCL,IOCL_VLV_1031,Foot Valve 4 Inch CI,Valve,"CI, Flanged, With strainer",NOS
IOCL,IOCL-VLV-1033,Check  Valve 12 Inch Carbon Steel Class 150,Valve,"CS, NACE, Flanged",EA
ONGC,ONGC-PIP-1068,CS - PIPE 150MM NB SCH80,Pipe,"150 NB, Sch80, API 5L",NOS
NTPC,NTPC-VLV-1053,Globe Valve 65mm CS 150# RF,Valve,"CS, 150#, Flanged",PCS
ONGC,ONGC/PMP/1075,GEAR - PUMP 2INCH CI,Pump,"2 inch, CI, 1440rpm",EA
ONGC,ONGC-VLV-1077,BALL VALVE 80MM SS304 CL 300,Valve,"SS304, Class 300, Screwed",NOS
SAIL,SAIL_PMP_1038,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",PCS
SAIL,SAIL/VLV/1040,Gate Valve 200mm CI PN10,Valve,"CI, PN10, Flanged",NOS
CIL,CIL_PIP_1039,MS - Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",M
ONGC,ONGC_PMP_1083,SUBMERSIBLE  PUMP 10HP 100MM,Pump,"10HP, 100mm bore, 3ph",EA
CPCL,CPCL/FLG/1051,Slipon Flange 80 MM PN16,Flange,"80 NB, PN16, MS",PCS
CPCL,CPCL-PMP-1054,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",PCS
CPCL,CPCL-BRG-1057,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",EA
SAIL,SAIL_PIP_1046,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",MTR
CPCL,CPCL/MTR/1060,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",
IOCL,IOCL-BRG-1034,Plummer Block UCP210,Bearing,"50mm bore, CI housing",PCS
CPCL,CPCL_PMP_1067,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
CIL,CIL/BRG/1045,Deep - Groove BALL BRG 6205,Bearing,"25x52x15, SKF/equiv",EA
CPCL,CPCL_VLV_1070,Gate Valve 50 MM SS316 PN40,Valve,"SS316, PN40, Flanged RF",PCS
SAIL,SAIL/BRG/1048,Plummer Block UCP210,Bearing,"50mm bore, CI housing",NOS
NTPC,NTPC-VLV-1055,Gate Valve 200mm CI PN10 RF,Valve,"CI, PN10, Flanged",NOS
CPCL,CPCL/MTR/1071,"DC, Motor 5kW 1500rpm",Motor,"5kW, 220V DC",NOS
NTPC,NTPC/PIP/1059,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",MTR
NTPC,NTPC-PIP-1062,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",M
NTPC,NTPC/PMP/1068,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",NOS
SAIL,SAIL/VLV/1055,Globe Valve 65mm CS 150#,Valve,"CS, 150#, Flanged",NOS
IOCL,IOCL_VLV_1036,Check Valve 12 Inch Carbon Steel Class 150,Valve,"CS, NACE, Flanged",NOS
NTPC,NTPC_BRG_1073,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",EA
CPCL,CPCL/CBL/1077,XLPE Cable 3Cx120sq MM 1.1kV,Cable,"3Cx120, Al, Armoured",MTR
SAIL,SAIL-VLV-1060,Ball Vlve 80mm AISI 304 Class 300,Valve,"SS304, Class 300, Screwed",EA
CIL,CIL-VLV-1052,Safety Relief VLV 50mm SS,Valve,"SS, Set 10 barg, Flanged",PCS
CIL,CIL_VLV_1056,Check VLV 150mm CS Class 150,Valve,"CS, NACE, Flanged",PCS
NTPC,NTPC-CBL-1079,Control - Cable 12Cx2.5sqmm,Cable,"12Cx2.5 Cu, Unarm",NOS
SAIL,SAIL/VLV/1062,Needle Valve 25mm AISI 316 6000psi,Valve,"SS316, 6000 psi, NPT",EA
ONGC,ONGC/BRG/1089,THRUST BALL BEARING 51108,Bearing,40x60x13,NOS
CIL,CIL-VLV-1061,Foot VLV 100mm CI,Valve,"CI, Flanged, With strainer",EA
CIL,CIL-BRG-1065,Needle Roller BRG NK45/35,Bearing,45x55x35,PCS
CPCL,CPCL_VLV_1083,Gate Valve 100 MM CS CL 150,Valve,"CS, 150#, Flanged",PCS
SAIL,SAIL/PIP/1065,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",MTR
IOCL,IOCL-VLV-1039,Diaphragm Valve 3 Inch PP,Valve,"PP body, EPDM diaphragm",PCS
CPCL,CPCL-CBL-1088,XLPE Cable 3Cx120sq MM 1.1kV,Cable,"3Cx120, Al, Armoured",NOS
IOCL,IOCL/BRG/1040,Plummer Block UCP210,Bearing,"50mm bore, CI housing",EA
CIL,CIL_BRG_1067,Taper Roller BRG 32210,Bearing,50x90x24.75,NOS
CPCL,CPCL/PIP/1093,CS Pipe 150 MM NB Sch80,Pipe,"150 NB, Sch80, API 5L",M
IOCL,IOCL_VLV_1047,Diaphragm Valve 3 Inch PP,Valve,"PP body, EPDM diaphragm",EA
ONGC,ONGC-MTR-1094,FLAMEPROOF MOTOR 30KW EXD,Motor,"30kW, Exd IIB, 415V",EA
NTPC,NTPC/VLV/1086,Gate  Valve 50mm SS316 PN40 RF,Valve,"SS316, PN40, Flanged RF",NOS
NTPC,NTPC-VLV-1089,Plug Valve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",EA
IOCL,IOCL/FLG/1054,Slipon - Flange 3 Inch PN16,Flange,"80 NB, PN16, MS",PCS
ONGC,ONGC-VLV-1096,GATE VALV 100MM CS CL 150,Valve,"CS, 150#, Flanged",PCS
IOCL,IOCL-PMP-1055,Vertical Turbine Pump 8 Inch,Pump,"200mm column, 75kW",EA
NTPC,NTPC_MTR_1090,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",PCS
IOCL,IOCL_CBL_1057,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,NOS
SAIL,SAIL_VLV_1070,Check Valve 150mm CS Class 150,Valve,"CS, NACE, Flanged",NOS
CPCL,CPCL-PIP-1096,HDPE Pipe 110 MM PN10,Pipe,"110mm OD, PN10, PE100",M
CPCL,CPCL/PMP/1101,Multistage - Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
IOCL,IOCL_VLV_1058,Ball Valve 2 Inch Brass Screwed,Valve,"Brass, Screwed BSP",EA
CPCL,CPCL/VLV/1106,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",PCS
ONGC,ONGC/VLV/1099,NEEDLE VALVE 25MM SS316 6000PSI,Valve,"SS316, 6000 psi, NPT",NOS
NTPC,NTPC/VLV/1092,Gate Valve 200mm CI PN10 RF,Valve,"CI, PN10, Flanged",PCS
CIL,CIL_VLV_1071,Knife GATE VLV 250mm SS,Valve,"SS gate, PN10, Lug",EA
CPCL,CPCL/BRG/1112,Plu MMer Block UCP210,Bearing,"50mm bore, CI housing",NOS
CPCL,CPCL/VLV/1116,Ball Valve 50 MM Brass Screwed,Valve,"Brass, Screwed BSP",PCS
CPCL,CPCL_BRG_1122,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",NOS
ONGC,ONGC_VLV_1106,CHECK  VALVE 150MM CS CL 150,Valve,"CS, NACE, Flanged",EA
NTPC,NTPC/VLV/1095,Gate Valve 150mm CS 300# RF,Valve,"CS, 300#, RTJ",EA
IOCL,IOCL_PMP_1059,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",SET
CPCL,CPCL_VLV_1124,Ball Valve 50 MM Brass Screwed,Valve,"Brass, Screwed BSP",EA
ONGC,ONGC/VLV/1112,GLOBE VALVE 65MM CS 150#,Valve,"CS, 150#, Flanged",EA
CIL,CIL/VLV/1074,"BALL, VLV 50mm Brass Screwed",Valve,"Brass, Screwed BSP",NOS
SAIL,SAIL-VLV-1072,Knife Gate Valve 250mm SS,Valve,"SS gate, PN10, Lug",EA
SAIL,SAIL/PMP/1073,Diaphragm  Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
SAIL,SAIL-VLV-1079,Gate - Valve 200mm CI PN10,Valve,"CI, PN10, Flanged",NOS
SAIL,SAIL-VLV-1081,Knife Gate Valve 250mm SS,Valve,"SS gate, PN10, Lug",NOS
CPCL,CPCL_VLV_1127,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",EA
CPCL,CPCL/VLV/1132,Globe Valve 65 MM CS 150#,Valve,"CS, 150#, Flanged",EA
SAIL,SAIL-VLV-1083,Gate Valve 50mm AISI 316 PN40,Valve,"SS316, PN40, Flanged RF",PCS
ONGC,ONGC-BRG-1113,TAPER ROLLER BEARING 32210,Bearing,50x90x24.75,NOS
SAIL,SAIL-PIP-1089,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",M
IOCL,IOCL/VLV/1065,Butterfly Valve 8 Inch CI PN16,Valve,"CI, PN16, Wafer",NOS
NTPC,NTPC-PMP-1100,Centrifugal Pump 50x40 15kW,Pump,"50x40mm, 15kW, 2900rpm",EA
NTPC,NTPC_VLV_1105,Ball - Valve 80mm SS304 Class 300 RF,Valve,"SS304, Class 300, Screwed",NOS
ONGC,ONGC_VLV_1117,FOOT VALV 100MM CI,Valve,"CI, Flanged, With strainer",EA
SAIL,SAIL-PMP-1091,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
ONGC,ONGC/PMP/1122,SLURRY PUMP 100MM HNBR,Pump,"100mm, HNBR lined",SET
CIL,CIL_PMP_1077,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
NTPC,NTPC-VLV-1109,Gate Valve 150mm CS 300# RF,Valve,"CS, 300#, RTJ",PCS
NTPC,NTPC_VLV_1112,Gate Valve 150mm CS 300# RF,Valve,"CS, 300#, RTJ",PCS
CPCL,CPCL-BRG-1135,Needle Roller Bearing NK45/35,Bearing,45x55x35,NOS
CIL,CIL_BRG_1081,Needle Roller BRG NK45/35,Bearing,45x55x35,EA
CPCL,CPCL_VLV_1140,Gate Valve 200 MM CI PN10,Valve,"CI, PN10, Flanged",NOS
SAIL,SAIL-PMP-1098,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",EA
CIL,CIL-GSK-1087,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",PCS
SAIL,SAIL_MTR_1099,DC Motor 5kW 1500rpm,Motor,"5kW, 220V DC",EA
IOCL,IOCL-PMP-1067,Vertical Turbine Pump 8 Inch,Pump,"200mm column, 75kW",SET
IOCL,IOCL_VLV_1074,Needle Valve 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",EA
IOCL,IOCL/PMP/1080,Submersible Pump 10HP 4 Inch,Pump,"10HP, 100mm bore, 3ph",EA
CPCL,CPCL_VLV_1147,Butterfly Valve 200 MM CI PN16,Valve,"CI, PN16, Wafer",PCS
IOCL,IOCL-MTR-1083,Flameproof Motor 30kW Exd,Motor,"30kW, Exd IIB, 415V",EA
NTPC,NTPC_PMP_1119,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
NTPC,NTPC-FLG-1126,Slipon Flange 80mm PN16,Flange,"80 NB, PN16, MS",EA
CIL,CIL-PMP-1091,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
ONGC,ONGC-BRG-1127,SPHERICAL ROLLER BEARING 22218,Bearing,90x160x40,NOS
ONGC,ONGC/FLG/1133,WN FLANGE 100MM 150# CS,Flange,"100 NB, 150#, A105",NOS
IOCL,IOCL/FST/1087,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",SET
ONGC,ONGC_PIP_1135,SS316 PIPE 50MM NB SCH40,Pipe,"50 NB, Sch40, Seamless",NOS
IOCL,IOCL/PMP/1088,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",EA
ONGC,ONGC_FLG_1140,WN FLANGE 100MM 150# CS,Flange,"100 NB, 150#, A105",NOS
SAIL,SAIL_PIP_1101,AISI 316 Pipe 50mm NB Sch40,Pipe,"50 NB, Sch40, Seamless",M
CIL,CIL-PMP-1093,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
SAIL,SAIL/VLV/1105,Gate Valve 200mm CI PN10,Valve,"CI, PN10, Flanged",PCS
NTPC,NTPC-MTR-1128,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",EA
SAIL,SAIL/VLV/1106,Needle Valve 25mm AISI 316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
IOCL,IOCL_PIP_1093,GI Pipe 25mm Medium,Pipe,"25mm, Medium, IS1239",M
IOCL,IOCL/CBL/1095,HT Cable 3Cx300 11kV,Cable,3Cx300 Al XLPE 11kV,MTR
NTPC,NTPC_PIP_1135,MS Pipe 100mm NB ERW,Pipe,"100 NB, ERW, 6m",MTR
SAIL,SAIL/PMP/1112,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",NOS
IOCL,IOCL-FST-1097,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
NTPC,NTPC-VLV-1139,"Knife, Gate Valve 250mm SS RF",Valve,"SS gate, PN10, Lug",NOS
CIL,CIL-VLV-1099,Foot VLV 100mm CI,,"CI, Flanged, With strainer",EA
NTPC,NTPC_FLG_1140,Blind Flange 50mm 300# SS316,Flange,"50 NB, 300#, SS316",NOS
NTPC,NTPC_VLV_1142,Gate Valve 150mm CS 300# RF,Valve,"CS, 300#, RTJ",PCS
NTPC,NTPC_BRG_1148,Spherical Roller Bearing 22218,Bearing,90x160x40,PCS
NTPC,NTPC-BRG-1154,Taper Roller Bearing 32210,Bearing,50x90x24.75,NOS
NTPC,NTPC-VLV-1161,Safety Relief Valve 50mm SS RF,Valve,"SS, Set 10 barg, Flanged",EA
ONGC,ONGC/VLV/1146,GATE VALV 200MM CI PN10,Valve,"CI, PN10, Flanged",PCS
ONGC,ONGC_PMP_1150,VERTICAL TURBINE PUMP 200MM,Pump,"200mm column, 75kW",SET
ONGC,ONGC-VLV-1153,GATE VALVE 200MM CI PN10,Valve,"CI, PN10, Flanged",PCS
IOCL,IOCL_PMP_1099,Screw Pump 5m3/hr SS,Pump,"5 m3/hr, SS wetted",PCS
CIL,CIL_PMP_1105,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
NTPC,NTPC_PMP_1164,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",EA
IOCL,IOCL_PIP_1102,HDPE Pipe 110mm PN10,Pipe,"110mm OD, PN10, PE100",MTR
SAIL,SAIL-PMP-1116,Diaphragm Dosing Pump 0-100LPH,Pump,"0-100 LPH, PP head",EA
ONGC,ONGC-PMP-1160,GEAR PUMP 2INCH CI,Pump,"2 inch, CI, 1440rpm",NOS
IOCL,IOCL_FLG_1107,Blind Flange 2 Inch 300# SS316,Flange,"50 NB, 300#, SS316",PCS
ONGC,ONGC_PMP_1162,CENTRIFUGAL PUMP 50X40 15KW,Pump,"50x40mm, 15kW, 2900rpm",SET
CIL,CIL_BRG_1107,Thrust BALL BRG 51108,Bearing,40x60x13,EA
CPCL,CPCL/VLV/1151,Plug Valve 100 MM CS PTFE,Valve,"CS+PTFE sleeve, 150#",EA
IOCL,IOCL-BRG-1111,Spherical Roller Bearing 22218,Bearing,90x160x40,PCS
SAIL,SAIL/PMP/1120,Slurry Pump 100mm HNBR,Pump,"100mm, HNBR lined",SET
SAIL,SAIL/GSK/1126,Ring Joint Gasket R37 AISI 316,Gasket,"R37, Octagonal, SS316",EA
NTPC,NTPC/VLV/1171,Plug Valve 100mm CS PTFE RF,Valve,"CS+PTFE sleeve, 150#",EA
CIL,CIL-VLV-1112,BALL VLV 50mm Brass Screwed,Valve,"Brass, Screwed BSP",NOS
CIL,CIL-PMP-1118,Multistage Pump 65x50 30kW,Pump,"65x50, 30kW, 8 stage",SET
SAIL,SAIL/VLV/1132,Ball Valve 50mm Brass Screwed,Valve,"Brass, Screwed BSP",
CPCL,CPCL-PMP-1154,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",PCS
ONGC,ONGC-VLV-1167,BUTTERFLY VALVE 200MM CI PN16,Valve,"CI, PN16, Wafer",EA
NTPC,NTPC_PMP_1175,Vertical - Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
CIL,CIL-VLV-1124,Plug VLV 100mm CS PTFE,Valve,"CS+PTFE sleeve, 150#",EA
CIL,CIL/PIP/1128,CS Pipe 150mm NB Sch80,Pipe,"150 NB, Sch80, API 5L",NOS
SAIL,SAIL-VLV-1134,Gate Valve 100mm CS Class 150,Valve,"CS, 150#, Flanged",PCS
CPCL,CPCL_PMP_1159,Slurry Pump 100 MM HNBR,Pump,"100mm, HNBR lined",SET
IOCL,IOCL/VLV/1117,Plug Valve 4 Inch Carbon Steel PTFE,Valve,"CS+PTFE sleeve, 150#",EA
CIL,CIL/VLV/1131,BALL VLV 80mm SS304 Class 300,Valve,"SS304, Class 300, Screwed",PCS
CPCL,CPCL-PMP-1163,Submersible Pump 10HP 100 MM,Pump,"10HP, 100mm bore, 3ph",SET
CPCL,CPCL/PMP/1166,Gear Pump 2inch CI,Pump,"2 inch, CI, 1440rpm",EA
SAIL,SAIL_BRG_1135,Taper Roller Bearing 32210,Bearing,50x90x24.75,EA
CIL,???,Plummer Block UCP210,Bearing,"50mm bore, CI housing",EA
CPCL,CPCL-VLV-1167,Needle Valve 25 MM SS316 6000psi,Valve,"SS316, 6000 psi, NPT",NOS
ONGC,ONGC_VLV_1168,"BALL, VALVE 50MM BRASS SCREWED",Valve,"Brass, Screwed BSP",PCS
ONGC,ONGC-BRG-1173,PLUMMER BLOCK UCP210,Bearing,"50mm bore, CI housing",PCS
CPCL,CPCL-VLV-1168,Knife Gate Valve 250 MM SS,Valve,"SS gate, PN10, Lug",NOS
IOCL,IOCL_VLV_1121,Needle Valve 25mm SS316 6000psi,Valve,"SS316, 6000 psi, NPT",PCS
CPCL,CPCL/VLV/1172,Safety Relief Valve 50 MM SS,Valve,"SS, Set 10 barg, Flanged",NOS
IOCL,IOCL_VLV_1126,Knife Gate Valve 22 Inch SS,Valve,"SS gate, PN10, Lug",EA
CIL,CIL_PMP_1137,Vertical Turbine Pump 200mm,Pump,"200mm column, 75kW",SET
SAIL,SAIL-VLV-1140,Gate Valve 200mm CI PN10,Valve,"CI, PN10, Flanged",PCS
IOCL,IOCL_VLV_1129,Gate Valve 4 Inch Carbon Steel Class 150,Valve,"CS, 150#, Flanged",EA
CIL,CIL_VLV_1140,Diaphragm VLV 80mm PP,Valve,"PP body, EPDM diaphragm",EA
NTPC,NTPC_GSK_1180,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",PCS
SAIL,SAIL-BRG-1141,Deep Groove Ball Bearing 6205,Bearing,"25x52x15, SKF/equiv",NOS
CIL,CIL/VLV/1144,Check VLV 150mm CS Class 150,Valve,"CS, NACE, Flanged",EA
SAIL,SAIL-BRG-1146,Thrust Ball Bearing 51108,Bearing,40x60x13,EA
IOCL,IOCL/VLV/1130,Safety Relief Valve 2 Inch SS,Valve,"SS, Set 10 barg, Flanged",EA
CIL,CIL/FST/1147,Hex Bolt M20x80 8.8 HDG,Fastener,"M20x80, Gr 8.8, HDG+nut",EA
CIL,CIL-FLG-1150,WN Flange 100mm 150# CS,Flange,"100 NB, 150#, A105",EA
ONGC,ONGC_VLV_1175,GLOBE VALVE 65MM CS 150#,Valve,"CS, 150#, Flanged",EA
NTPC,NTPC_GSK_1184,Spiral Wound Gasket 4in 150#,Gasket,"4in, 150#, SS316+Graphite",NOS
IOCL,IOCL/MTR/1134,Induction Motor 15kW 4P IE3,Motor,"15kW, 4P, 415V, IE3",NOS
ONGC,ONGC_VLV_1182,FOOT VALVE 100MM CI,Valve,"CI, Flanged, With strainer",NOS
NTPC,NTPC/VLV/1190,Butterfly Valve 200mm CI PN16 RF,Valve,"CI, PN16, Wafer",PCS
NTPC,NTPC_GSK_1197,Ring Joint Gasket R37 SS316,Gasket,"R37, Octagonal, SS316",PCS
CPCL,CPCL-PIP-1173,SS316 - Pipe 50 MM NB Sch40,Pipe,"50 NB, Sch40, Seamless",M
