cpse,legacy_code,qty,unit_price_inr,year,note
CIL,CIL/BRG/1406,207,216512,2024,DEMO / SIMULATED
SAIL,SAIL/PMP/1258,491,23476,2026,DEMO / SIMULATED
SAIL,SAIL-VLV-1606,107,34122,2023,DEMO / SIMULATED
CIL,CIL/BRG/1045,245,126319,2023,DEMO / SIMULATED
SAIL,SAIL/VLV/1310,62,60737,2023,DEMO / SIMULATED
IOCL,IOCL_PIP_1696,431,102528,2024,DEMO / SIMULATED
NTPC,NTPC_VLV_1267,47,200695,2023,DEMO / SIMULATED
NTPC,NTPC/VLV/1964,128,115081,2025,DEMO / SIMULATED
CIL,CIL-GSK-1341,229,194353,2024,DEMO / SIMULATED
IOCL,IOCL_PIP_1029,231,157300,2023,DEMO / SIMULATED
IOCL,IOCL-PMP-1623,344,245541,2024,DEMO / SIMULATED
IOCL,IOCL_PMP_1274,398,55963,2025,DEMO / SIMULATED
SAIL,SAIL_VLV_1902,27,149907,2023,DEMO / SIMULATED
IOCL,IOCL_CBL_1267,490,40832,2025,DEMO / SIMULATED
IOCL,IOCL/PMP/1303,445,249945,2025,DEMO / SIMULATED
CIL,CIL_GSK_1293,476,46813,2025,DEMO / SIMULATED
CPCL,CPCL-PMP-1693,241,53399,2023,DEMO / SIMULATED
SAIL,SAIL/FLG/1831,205,100423,2024,DEMO / SIMULATED
CPCL,CPCL/PIP/1327,489,77295,2023,DEMO / SIMULATED
IOCL,IOCL-VLV-1190,120,49024,2024,DEMO / SIMULATED
IOCL,IOCL/FLG/1019,176,173293,2026,DEMO / SIMULATED
NTPC,NTPC-VLV-1422,17,229215,2026,DEMO / SIMULATED
CPCL,CPCL-PIP-1380,40,221898,2024,DEMO / SIMULATED
CIL,CIL/FLG/1031,313,139357,2025,DEMO / SIMULATED
NTPC,NTPC/FLG/1878,290,43030,2024,DEMO / SIMULATED
CIL,CIL_BRG_1598,285,84044,2023,DEMO / SIMULATED
CPCL,CPCL_VLV_1689,62,180306,2023,DEMO / SIMULATED
CPCL,CPCL/GSK/1626,214,136602,2023,DEMO / SIMULATED
NTPC,NTPC/VLV/1820,321,189670,2024,DEMO / SIMULATED
CPCL,CPCL_VLV_1821,375,245328,2025,DEMO / SIMULATED
CPCL,CPCL/VLV/1854,194,10874,2024,DEMO / SIMULATED
CPCL,CPCL-PIP-1275,466,28008,2024,DEMO / SIMULATED
SAIL,SAIL_BRG_1562,8,100732,2023,DEMO / SIMULATED
SAIL,SAIL_VLV_1686,293,16113,2026,DEMO / SIMULATED
CIL,CIL/PIP/1742,398,149423,2023,DEMO / SIMULATED
CIL,CIL-VLV-1494,443,59656,2023,DEMO / SIMULATED
CIL,CIL/PIP/1803,293,143821,2023,DEMO / SIMULATED
SAIL,SAIL-VLV-1757,15,170895,2026,DEMO / SIMULATED
CPCL,CPCL/BRG/1580,484,150613,2026,DEMO / SIMULATED
CPCL,CPCL/VLV/1404,149,180528,2026,DEMO / SIMULATED
CPCL,CPCL_VLV_2086,235,239414,2024,DEMO / SIMULATED
SAIL,SAIL/PIP/1495,354,129397,2025,DEMO / SIMULATED
SAIL,SAIL_VLV_1579,181,167706,2026,DEMO / SIMULATED
ONGC,ONGC/PIP/1530,250,241822,2024,DEMO / SIMULATED
NTPC,NTPC/BRG/1566,237,141428,2025,DEMO / SIMULATED
ONGC,ONGC/PMP/1366,119,38655,2025,DEMO / SIMULATED
ONGC,ONGC_VLV_1469,331,192421,2024,DEMO / SIMULATED
CIL,CIL-VLV-1700,498,102630,2025,DEMO / SIMULATED
CPCL,CPCL/VLV/1536,456,42826,2025,DEMO / SIMULATED
SAIL,SAIL-PMP-1098,383,6288,2026,DEMO / SIMULATED
ONGC,ONGC-PMP-2023,417,79405,2024,DEMO / SIMULATED
NTPC,NTPC-VLV-1219,26,121368,2026,DEMO / SIMULATED
SAIL,SAIL-GSK-1450,368,231435,2024,DEMO / SIMULATED
ONGC,ONGC_VLV_2040,210,33574,2025,DEMO / SIMULATED
CPCL,CPCL_MTR_1389,111,247708,2026,DEMO / SIMULATED
SAIL,SAIL-BRG-1760,220,232436,2026,DEMO / SIMULATED
ONGC,ONGC-VLV-1193,240,193069,2026,DEMO / SIMULATED
IOCL,IOCL_PIP_1102,232,102627,2026,DEMO / SIMULATED
SAIL,SAIL/GSK/1660,191,89352,2025,DEMO / SIMULATED
IOCL,IOCL/PMP/1899,345,105364,2024,DEMO / SIMULATED
CIL,CIL_CBL_1592,375,139719,2024,DEMO / SIMULATED
ONGC,ONGC/FLG/1753,130,57674,2024,DEMO / SIMULATED
NTPC,NTPC_MTR_1463,296,51813,2025,DEMO / SIMULATED
CIL,CIL-VLV-1124,465,122271,2026,DEMO / SIMULATED
ONGC,ONGC_GSK_1869,196,169620,2025,DEMO / SIMULATED
CPCL,CPCL_CBL_2111,114,103777,2024,DEMO / SIMULATED
ONGC,ONGC_MTR_1506,245,29281,2026,DEMO / SIMULATED
ONGC,ONGC/PIP/2073,158,237955,2026,DEMO / SIMULATED
CPCL,CPCL_PMP_2081,31,53074,2024,DEMO / SIMULATED
IOCL,IOCL-VLV-1784,177,145423,2024,DEMO / SIMULATED
IOCL,IOCL_BRG_1699,342,101539,2026,DEMO / SIMULATED
CIL,CIL_VLV_1288,97,248054,2026,DEMO / SIMULATED
NTPC,NTPC-PMP-1698,17,182719,2024,DEMO / SIMULATED
CPCL,CPCL_PIP_1424,202,149538,2024,DEMO / SIMULATED
SAIL,SAIL-CBL-1753,144,196352,2024,DEMO / SIMULATED
CIL,CIL_BRG_1067,333,106149,2024,DEMO / SIMULATED
NTPC,NTPC_VLV_1676,82,108617,2025,DEMO / SIMULATED
CPCL,CPCL_VLV_1925,244,65208,2024,DEMO / SIMULATED
CPCL,CPCL/PMP/1894,395,244922,2026,DEMO / SIMULATED
SAIL,SAIL-VLV-1592,166,160801,2023,DEMO / SIMULATED
IOCL,IOCL_PMP_1059,351,26244,2023,DEMO / SIMULATED
CIL,CIL_VLV_1199,48,6427,2023,DEMO / SIMULATED
ONGC,ONGC/VLV/1056,476,226833,2023,DEMO / SIMULATED
IOCL,IOCL_VLV_1537,174,224304,2023,DEMO / SIMULATED
CPCL,CPCL-VLV-1845,165,245003,2025,DEMO / SIMULATED
CIL,CIL-VLV-1850,108,195726,2024,DEMO / SIMULATED
NTPC,NTPC_MTR_1090,495,56639,2025,DEMO / SIMULATED
NTPC,NTPC-VLV-1528,435,18107,2025,DEMO / SIMULATED
IOCL,IOCL/PMP/1590,324,239153,2025,DEMO / SIMULATED
ONGC,ONGC-VLV-2059,303,237913,2026,DEMO / SIMULATED
NTPC,NTPC_CBL_1244,248,89567,2024,DEMO / SIMULATED
ONGC,ONGC_VLV_1106,153,80292,2023,DEMO / SIMULATED
IOCL,IOCL-VLV-1854,415,148095,2024,DEMO / SIMULATED
CPCL,CPCL_VLV_1530,466,231633,2024,DEMO / SIMULATED
CPCL,CPCL_VLV_1124,88,109638,2023,DEMO / SIMULATED
CIL,CIL_VLV_1912,277,239411,2026,DEMO / SIMULATED
IOCL,IOCL-VLV-1365,86,148036,2026,DEMO / SIMULATED
ONGC,ONGC-MTR-1814,363,74523,2024,DEMO / SIMULATED
CIL,CIL-BRG-1315,63,174829,2024,DEMO / SIMULATED
CPCL,CPCL/VLV/2121,470,117428,2023,DEMO / SIMULATED
CPCL,CPCL-BRG-1040,391,11122,2024,DEMO / SIMULATED
CPCL,CPCL-BRG-2104,455,100663,2026,DEMO / SIMULATED
ONGC,ONGC/PMP/1712,199,125811,2024,DEMO / SIMULATED
CPCL,CPCL-PMP-1674,397,6030,2025,DEMO / SIMULATED
SAIL,SAIL/VLV/1911,481,116388,2024,DEMO / SIMULATED
CPCL,CPCL-PIP-1176,234,235153,2023,DEMO / SIMULATED
ONGC,ONGC-PMP-1556,256,248946,2025,DEMO / SIMULATED
IOCL,IOCL/BRG/1260,458,89870,2023,DEMO / SIMULATED
ONGC,ONGC/BRG/1980,458,97784,2023,DEMO / SIMULATED
CPCL,CPCL_GSK_1705,95,36174,2025,DEMO / SIMULATED
ONGC,ONGC-CBL-1458,351,103984,2024,DEMO / SIMULATED
IOCL,IOCL/FLG/1893,61,245912,2024,DEMO / SIMULATED
IOCL,IOCL_PMP_1841,497,167057,2025,DEMO / SIMULATED
SAIL,SAIL_BRG_1400,154,187291,2023,DEMO / SIMULATED
NTPC,NTPC-VLV-1492,186,158823,2026,DEMO / SIMULATED
SAIL,SAIL-MTR-1282,13,163817,2026,DEMO / SIMULATED
NTPC,NTPC/VLV/1741,91,96539,2025,DEMO / SIMULATED
IOCL,IOCL/BRG/1488,103,135390,2025,DEMO / SIMULATED
ONGC,ONGC/VLV/1230,271,237851,2023,DEMO / SIMULATED
SAIL,SAIL/VLV/1712,255,84310,2024,DEMO / SIMULATED
ONGC,ONGC_BRG_2008,31,171037,2024,DEMO / SIMULATED
CIL,CIL/PMP/1758,363,81182,2025,DEMO / SIMULATED
ONGC,ONGC/VLV/1462,234,114295,2025,DEMO / SIMULATED
CPCL,CPCL/MTR/1010,25,72322,2026,DEMO / SIMULATED
IOCL,IOCL-BRG-1739,342,21835,2025,DEMO / SIMULATED
ONGC,ONGC_BRG_2065,287,9024,2024,DEMO / SIMULATED
NTPC,NTPC_VLV_1547,451,243688,2023,DEMO / SIMULATED
IOCL,IOCL/VLV/1723,381,151179,2023,DEMO / SIMULATED
ONGC,ONGC_VLV_1182,159,100590,2024,DEMO / SIMULATED
IOCL,IOCL/VLV/1065,468,124039,2026,DEMO / SIMULATED
IOCL,IOCL_PIP_1744,203,10232,2025,DEMO / SIMULATED
CPCL,CPCL_BRG_1797,361,99141,2025,DEMO / SIMULATED
NTPC,NTPC/PMP/1623,192,211339,2026,DEMO / SIMULATED
NTPC,NTPC-VLV-2012,213,186209,2025,DEMO / SIMULATED
ONGC,ONGC/BRG/1272,72,247977,2025,DEMO / SIMULATED
NTPC,NTPC_VLV_1322,373,69373,2024,DEMO / SIMULATED
IOCL,IOCL-PMP-1307,255,74630,2025,DEMO / SIMULATED
ONGC,ONGC_PMP_1846,47,240231,2026,DEMO / SIMULATED
CIL,CIL-PMP-1215,475,176910,2023,DEMO / SIMULATED
ONGC,ONGC/PMP/1300,417,175446,2025,DEMO / SIMULATED
CPCL,CPCL-PMP-1047,446,134176,2023,DEMO / SIMULATED
IOCL,IOCL/VLV/1798,16,213334,2024,DEMO / SIMULATED
IOCL,IOCL_PIP_1624,417,200570,2023,DEMO / SIMULATED
CIL,CIL_VLV_1935,129,20307,2024,DEMO / SIMULATED
IOCL,IOCL/MTR/1134,196,17828,2024,DEMO / SIMULATED
NTPC,NTPC-CBL-1497,297,210897,2024,DEMO / SIMULATED
SAIL,SAIL/PMP/1112,403,23707,2023,DEMO / SIMULATED
ONGC,ONGC_PMP_1150,9,190358,2023,DEMO / SIMULATED
ONGC,ONGC/VLV/1570,382,212346,2025,DEMO / SIMULATED
ONGC,ONGC/CBL/1816,450,239065,2023,DEMO / SIMULATED
ONGC,ONGC/PIP/2034,84,153565,2026,DEMO / SIMULATED
SAIL,SAIL_MTR_1879,328,229756,2025,DEMO / SIMULATED
CIL,CIL/VLV/1475,407,175109,2023,DEMO / SIMULATED
NTPC,NTPC_PIP_1619,318,32775,2023,DEMO / SIMULATED
IOCL,IOCL-PMP-1464,365,37163,2024,DEMO / SIMULATED
IOCL,IOCL/FLG/1891,475,196376,2023,DEMO / SIMULATED
IOCL,IOCL/CBL/1578,100,24839,2023,DEMO / SIMULATED
CIL,CIL-PMP-1163,6,114300,2024,DEMO / SIMULATED
NTPC,NTPC_MTR_1516,112,13906,2023,DEMO / SIMULATED
ONGC,ONGC-VLV-1309,203,84792,2024,DEMO / SIMULATED
NTPC,NTPC_PMP_1164,248,215116,2024,DEMO / SIMULATED
SAIL,SAIL/PMP/1433,367,130640,2024,DEMO / SIMULATED
IOCL,IOCL_CBL_1449,245,76314,2023,DEMO / SIMULATED
NTPC,NTPC_PMP_1299,231,49277,2023,DEMO / SIMULATED
CIL,CIL_VLV_1537,45,46898,2024,DEMO / SIMULATED
IOCL,IOCL-VLV-1630,139,38520,2024,DEMO / SIMULATED
NTPC,NTPC_PMP_1300,363,33308,2023,DEMO / SIMULATED
SAIL,SAIL_VLV_1330,101,49833,2025,DEMO / SIMULATED
SAIL,SAIL_PMP_1553,392,60494,2024,DEMO / SIMULATED
IOCL,IOCL_BRG_1244,207,167339,2025,DEMO / SIMULATED
SAIL,SAIL-BRG-1263,312,108877,2025,DEMO / SIMULATED
SAIL,SAIL-CBL-1488,116,112610,2025,DEMO / SIMULATED
CIL,CIL/PMP/1846,427,91176,2024,DEMO / SIMULATED
ONGC,ONGC/PMP/1923,276,2630,2025,DEMO / SIMULATED
CIL,CIL-PMP-1091,149,198534,2024,DEMO / SIMULATED
IOCL,IOCL-VLV-1432,38,16953,2023,DEMO / SIMULATED
CIL,CIL_VLV_1665,257,91036,2023,DEMO / SIMULATED
IOCL,IOCL/VLV/1325,322,198889,2026,DEMO / SIMULATED
ONGC,ONGC-VLV-1044,45,177494,2026,DEMO / SIMULATED
CPCL,CPCL_PIP_1908,11,195905,2023,DEMO / SIMULATED
ONGC,ONGC/VLV/1099,168,154977,2025,DEMO / SIMULATED
ONGC,ONGC-FLG-1777,362,179341,2023,DEMO / SIMULATED
CPCL,CPCL/PMP/1101,296,69596,2025,DEMO / SIMULATED
IOCL,IOCL_VLV_1859,235,94677,2026,DEMO / SIMULATED
SAIL,SAIL-PIP-1505,194,131792,2025,DEMO / SIMULATED
CIL,CIL_PMP_1105,395,129011,2025,DEMO / SIMULATED
CIL,CIL-PIP-1003,284,196089,2024,DEMO / SIMULATED
SAIL,SAIL/PIP/1696,121,154738,2024,DEMO / SIMULATED
ONGC,ONGC-PMP-1007,26,181906,2025,DEMO / SIMULATED
ONGC,ONGC-MTR-1478,214,122682,2026,DEMO / SIMULATED
CPCL,CPCL/VLV/1574,171,242875,2026,DEMO / SIMULATED
SAIL,SAIL_GSK_1411,242,228519,2026,DEMO / SIMULATED
CPCL,CPCL/FLG/1852,236,40825,2024,DEMO / SIMULATED
NTPC,NTPC-PMP-1593,382,197552,2026,DEMO / SIMULATED
SAIL,SAIL-VLV-1083,219,249740,2023,DEMO / SIMULATED
CPCL,CPCL_BRG_1242,452,37351,2025,DEMO / SIMULATED
CIL,CIL/PIP/1231,200,228930,2024,DEMO / SIMULATED
ONGC,ONGC_GSK_1949,209,96668,2023,DEMO / SIMULATED
CIL,CIL-CBL-1802,227,208254,2024,DEMO / SIMULATED
CPCL,CPCL_BRG_1767,82,156234,2024,DEMO / SIMULATED
ONGC,ONGC/VLV/1304,116,25663,2023,DEMO / SIMULATED
IOCL,IOCL_CBL_1265,205,124607,2024,DEMO / SIMULATED
NTPC,NTPC/FLG/1522,143,89225,2024,DEMO / SIMULATED
SAIL,SAIL-PMP-1116,16,131170,2026,DEMO / SIMULATED
IOCL,IOCL-PMP-1860,86,80366,2025,DEMO / SIMULATED
CPCL,CPCL/PIP/1212,121,50593,2026,DEMO / SIMULATED
SAIL,SAIL/MTR/1787,315,190521,2026,DEMO / SIMULATED
NTPC,NTPC-FLG-1590,226,114860,2024,DEMO / SIMULATED
CPCL,CPCL-VLV-1262,254,175332,2023,DEMO / SIMULATED
ONGC,ONGC/VLV/1643,185,28590,2023,DEMO / SIMULATED
NTPC,NTPC/VLV/1249,492,85546,2026,DEMO / SIMULATED
CIL,CIL/PMP/1544,316,76643,2024,DEMO / SIMULATED
NTPC,NTPC/VLV/1046,125,136790,2026,DEMO / SIMULATED
CPCL,CPCL-BRG-1933,416,57528,2026,DEMO / SIMULATED
SAIL,SAIL_PIP_1046,256,4199,2025,DEMO / SIMULATED
NTPC,NTPC-BRG-1785,328,42376,2025,DEMO / SIMULATED
NTPC,NTPC/VLV/1190,327,82225,2026,DEMO / SIMULATED
NTPC,NTPC-MTR-1451,318,32741,2024,DEMO / SIMULATED
CPCL,CPCL-PMP-1462,276,74697,2025,DEMO / SIMULATED
CPCL,CPCL-PMP-1163,376,98672,2024,DEMO / SIMULATED
CIL,CIL/MTR/1438,194,148997,2026,DEMO / SIMULATED
CPCL,CPCL/VLV/1270,37,5442,2026,DEMO / SIMULATED
IOCL,IOCL_PIP_1727,194,110114,2024,DEMO / SIMULATED
SAIL,???,112,248415,2025,DEMO / SIMULATED
CPCL,CPCL/VLV/1224,357,61994,2025,DEMO / SIMULATED
IOCL,IOCL-BRG-1111,329,240855,2026,DEMO / SIMULATED
CIL,CIL-MTR-1627,407,74339,2025,DEMO / SIMULATED
CIL,CIL_PMP_1241,300,208894,2025,DEMO / SIMULATED
NTPC,NTPC/PMP/1869,362,51754,2024,DEMO / SIMULATED
CPCL,CPCL_VLV_1919,499,85166,2024,DEMO / SIMULATED
CIL,CIL-FLG-1550,367,156208,2024,DEMO / SIMULATED
CIL,CIL_GSK_1861,421,215668,2024,DEMO / SIMULATED
CPCL,CPCL_CBL_1588,255,148465,2026,DEMO / SIMULATED
IOCL,IOCL/VLV/1530,460,5884,2025,DEMO / SIMULATED
SAIL,SAIL-BRG-1146,266,231677,2023,DEMO / SIMULATED
ONGC,???,201,197458,2024,DEMO / SIMULATED
ONGC,ONGC-FLG-1772,324,85119,2023,DEMO / SIMULATED
ONGC,ONGC/VLV/1112,275,129497,2026,DEMO / SIMULATED
ONGC,ONGC-PMP-1497,313,236842,2025,DEMO / SIMULATED
